open_time,open,high,low,close,volume
1732039320000,92771.99,92876.47,92761.6,92876.47,19.68528
1732039380000,92876.46,92876.47,92764.0,92776.52,16.35761
1732039440000,92776.52,92811.43,92711.5,92789.51,13.43215
1732039500000,92789.51,92876.47,92789.5,92827.92,13.12757
1732039560000,92827.93,92876.47,92805.59,92863.59,24.31355
1732039620000,92863.59,92950.0,92863.58,92949.93,30.05451
1732039680000,92949.93,92960.98,92891.73,92906.43,27.41128
1732039740000,92906.43,93060.93,92906.43,93052.54,38.38749
1732039800000,93052.54,93191.6,93052.53,93160.28,61.00331
1732039860000,93160.27,93260.3,93150.01,93199.99,64.50736
1732039920000,93199.98,93200.0,93129.6,93152.0,65.489
1732039980000,93152.0,93200.0,93149.08,93168.01,24.8467
1732040040000,93168.01,93287.0,93168.01,93286.99,64.35481
1732040100000,93286.99,93287.0,93058.91,93159.99,60.28237
1732040160000,93159.98,93455.0,93157.64,93450.0,195.41981
1732040220000,93450.01,93524.84,93092.0,93200.0,263.78851
1732040280000,93200.01,93256.4,92940.89,92941.19,90.25372
1732040340000,92941.19,93124.0,92891.72,93105.37,78.96243
1732040400000,93105.37,93233.09,92982.08,93103.58,73.5931
1732040460000,93103.58,93172.88,93000.0,93103.5,50.41995
1732040520000,93103.5,93204.86,93050.54,93144.32,53.63228
1732040580000,93144.66,93162.26,93081.76,93089.49,18.61865
1732040640000,93089.5,93160.89,92954.44,93063.99,94.11571
1732040700000,93063.99,93177.61,93048.01,93177.61,35.42261
1732040760000,93177.61,93259.26,93108.01,93108.02,28.2294
1732040820000,93108.02,93191.81,93028.0,93190.04,32.96034
1732040880000,93190.04,93688.0,93190.04,93666.18,260.14686
1732040940000,93666.18,93699.26,93564.0,93663.48,114.41225
1732041000000,93663.48,93677.76,93538.88,93572.02,101.97035
1732041060000,93572.02,93698.65,93476.2,93692.03,70.24959
1732041120000,93692.04,93720.01,93612.0,93691.99,72.35466
1732041180000,93692.0,93692.0,93450.77,93527.99,94.75538
1732041240000,93527.99,93626.24,93472.0,93610.98,72.20465
1732041300000,93610.99,93670.46,93580.0,93636.0,61.48682
1732041360000,93636.0,93707.25,93635.99,93697.59,25.85878
1732041420000,93697.6,93750.0,93656.01,93656.02,46.53974
1732041480000,93656.02,93685.89,93517.81,93600.0,52.82866
1732041540000,93600.0,93744.0,93599.99,93700.0,153.80012
1732041600000,93700.0,93750.0,93587.41,93635.73,60.04569
1732041660000,93635.73,93663.83,93555.65,93576.0,27.64251
1732041720000,93575.99,93591.99,93317.4,93408.0,99.35339
1732041780000,93408.0,93536.97,93407.99,93536.96,31.91292
